model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 3 Series,2019,35724,Semi-Auto,11103,Diesel,145,52.3,2.0
 4 Series,2019,31525,Semi-Auto,110,Diesel,145,60.1,2.0
 2 Series,2019,25968,Semi-Auto,9503,Diesel,145,49.6,2.0
 5 Series,2019,33787,Semi-Auto,11114,Diesel,145,65.7,2.0
 3 Series,2016,16224,Manual,51379,Diesel,20,68.9,2.0
 X4,2019,54574,Semi-Auto,6747,Petrol,145,26.9,3.0
 4 Series,2019,35087,Semi-Auto,8722,Diesel,145,53.3,3.0
 2 Series,2019,25844,Automatic,8556,Diesel,145,52.3,2.0
 2 Series,2019,25974,Semi-Auto,11362,Petrol,145,40.9,1.5
 X1,2020,33774,Semi-Auto,19,Diesel,145,60.1,2.0
 Z4,2020,38974,Semi-Auto,10,Petrol,145,38.7,2.0
 1 Series,2019,27937,Automatic,7314,Diesel,145,65.7,2.0
 2 Series,2019,29224,Manual,6521,Diesel,145,60.1,2.0
 3 Series,2019,35724,Semi-Auto,5090,Petrol,145,45.6,2.0
 5 Series,2019,34424,Semi-Auto,8601,Petrol,145,50.4,2.0
 4 Series,2019,32474,Semi-Auto,6917,Diesel,145,65.7,2.0
 3 Series,2019,35087,Semi-Auto,7264,Diesel,145,48.7,2.0
 3 Series,2019,36257,Semi-Auto,1984,Diesel,145,48.7,2.0
 X1,2019,31915,Manual,3228,Petrol,145,51.4,1.5
 X5,2018,58487,Semi-Auto,5321,Diesel,145,36.7,3.0
 8 Series,2018,83174,Semi-Auto,3891,Petrol,145,26.9,4.4
 5 Series,2019,36114,Semi-Auto,12182,Diesel,145,65.7,2.0
 1 Series,2017,23777,Manual,21491,Petrol,260,36.2,3.0
 2 Series,2019,29887,Semi-Auto,682,Petrol,145,47.9,2.0
 1 Series,2020,27885,Manual,1905,Petrol,145,44.1,1.5
 X4,2019,54405,Automatic,5789,Petrol,145,26.9,3.0
 3 Series,2019,49374,Semi-Auto,3766,Petrol,145,34.9,3.0
 3 Series,2019,36374,Semi-Auto,5023,Petrol,145,45.6,2.0
 3 Series,2019,49374,Semi-Auto,5470,Petrol,145,34.9,3.0
 3 Series,2019,31785,Manual,3378,Diesel,145,64.2,2.0
 3 Series,2019,31785,Manual,2912,Diesel,145,64.2,2.0
 3 Series,2019,31187,Manual,4710,Diesel,145,54.3,2.0
 3 Series,2019,34372,Manual,102,Diesel,145,54.3,2.0
 X2,2019,32487,Semi-Auto,1702,Diesel,145,47.9,2.0
 X2,2019,34827,Manual,103,Diesel,145,53.3,2.0
 2 Series,2019,27287,Semi-Auto,1290,Petrol,145,50.4,1.5
 X3,2019,53885,Semi-Auto,5651,Diesel,145,36.7,3.0
 3 Series,2018,31057,Semi-Auto,17240,Diesel,145,51.4,3.0
 M4,2017,116987,Semi-Auto,1336,Petrol,145,33.2,3.0
 3 Series,2019,31785,Manual,3973,Diesel,145,64.2,2.0
 3 Series,2019,32474,Semi-Auto,6941,Petrol,145,42.2,2.0
 1 Series,2016,15574,Automatic,41081,Diesel,0,74.3,2.0
 X1,2019,31824,Semi-Auto,7895,Petrol,145,40.9,1.5
 1 Series,2016,20124,Automatic,28883,Diesel,20,67.3,2.0
 4 Series,2019,33774,Automatic,5577,Diesel,145,55.4,3.0
 1 Series,2019,25974,Automatic,11303,Diesel,145,48.7,2.0
 4 Series,2019,29185,Manual,115,Petrol,145,46.3,2.0
 4 Series,2019,31785,Semi-Auto,8128,Diesel,145,65.7,2.0
 2 Series,2018,21957,Semi-Auto,21688,Diesel,145,56.5,1.5
 2 Series,2019,30485,Semi-Auto,9683,Diesel,145,57.7,2.0
 7 Series,2019,68887,Semi-Auto,4884,Diesel,145,41.5,3.0
 X1,2019,31915,Manual,4957,Petrol,145,51.4,1.5
 5 Series,2019,45487,Semi-Auto,101,Diesel,145,53.3,3.0
 1 Series,2019,27138,Semi-Auto,4834,Diesel,145,67.3,2.0
 1 Series,2020,30485,Manual,1524,Petrol,145,44.1,1.5
 1 Series,2020,33657,Manual,1182,Diesel,145,53.3,2.0
 2 Series,2016,17524,Manual,16600,Diesel,20,68.9,2.0
 4 Series,2019,42744,Automatic,5000,Petrol,145,41.5,3.0
 3 Series,2019,32955,Semi-Auto,22095,Diesel,145,52.3,2.0
 3 Series,2019,44038,Semi-Auto,9389,Diesel,145,49.6,2.0
 2 Series,2019,28528,Semi-Auto,9408,Petrol,145,47.9,2.0
 1 Series,2019,23374,Manual,6756,Diesel,145,65.7,2.0
 1 Series,2019,24668,Manual,5650,Diesel,145,65.7,2.0
 1 Series,2019,25838,Semi-Auto,7044,Diesel,145,67.3,2.0
 1 Series,2019,25318,Manual,4168,Petrol,145,52.3,1.5
 1 Series,2019,24687,Manual,3423,Diesel,145,70.6,1.5
 1 Series,2020,30485,Manual,1054,Petrol,145,41.5,1.5
 X7,2019,101244,Semi-Auto,6506,Diesel,145,31.4,3.0
 4 Series,2020,40287,Semi-Auto,110,Petrol,145,41.5,3.0
 i8,2015,55757,Automatic,43102,Hybrid,0,134.5,1.5
 1 Series,2017,18174,Manual,19484,Diesel,145,72.4,1.5
 1 Series,2019,25968,Manual,5303,Diesel,145,65.7,2.0
 1 Series,2019,24278,Manual,3382,Diesel,145,70.6,1.5
 1 Series,2019,22724,Manual,5230,Diesel,145,68.9,2.0
 3 Series,2019,37674,Automatic,6129,Diesel,145,50.4,2.0
 1 Series,2016,18174,Semi-Auto,17533,Petrol,30,58.9,1.5
 2 Series,2019,28574,Manual,8494,Diesel,145,64.2,2.0
 X2,2018,25012,Manual,18440,Diesel,145,55.4,2.0
 3 Series,2014,18174,Manual,16376,Diesel,30,62.8,2.0
 5 Series,2019,44174,Automatic,6000,Diesel,145,53.3,3.0
 3 Series,2019,36374,Automatic,5000,Diesel,145,52.3,2.0
 7 Series,2016,46124,Automatic,8814,Petrol,300,35.3,4.4
 2 Series,2019,30524,Semi-Auto,112,Petrol,145,47.9,2.0
 5 Series,2019,41438,Semi-Auto,114,Petrol,145,48.7,2.0
 1 Series,2019,27138,Semi-Auto,5954,Diesel,145,67.3,2.0
 4 Series,2019,44057,Semi-Auto,10,Diesel,145,51.4,3.0
 4 Series,2019,44044,Automatic,11,Diesel,145,51.4,3.0
 4 Series,2019,31187,Semi-Auto,120,Diesel,145,60.1,2.0
 2 Series,2019,27924,Semi-Auto,11,Petrol,145,50.4,1.5
 X4,2019,46124,Semi-Auto,10755,Diesel,145,42.8,2.0
 3 Series,2019,32097,Semi-Auto,5246,Petrol,145,47.9,2.0
 3 Series,2019,31174,Semi-Auto,1051,Petrol,145,47.9,2.0
 3 Series,2019,31174,Semi-Auto,2480,Petrol,145,47.9,2.0
 2 Series,2017,21707,Automatic,27201,Diesel,145,64.2,2.0
 1 Series,2014,17937,Manual,50026,Petrol,305,35.3,3.0
 2 Series,2019,26975,Manual,110,Petrol,145,52.3,1.5
 2 Series,2019,26585,Manual,10,Petrol,145,42.8,1.5
 3 Series,2014,15207,Manual,21798,Diesel,20,68.9,2.0
 3 Series,2016,24697,Semi-Auto,33087,Diesel,160,51.4,3.0
 2 Series,2017,19497,Semi-Auto,38576,Diesel,145,68.9,1.5
 1 Series,2017,27947,Semi-Auto,18836,Petrol,150,39.8,3.0
 7 Series,2017,40297,Semi-Auto,22879,Petrol,205,40.4,3.0
 1 Series,2016,24047,Semi-Auto,38964,Petrol,205,39.8,3.0
 3 Series,2019,32497,Semi-Auto,11904,Diesel,145,60.1,2.0
 1 Series,2019,25997,Semi-Auto,7222,Petrol,150,47.9,2.0
 3 Series,2019,31785,Semi-Auto,8196,Diesel,145,62.8,2.0
 3 Series,2019,29887,Manual,1122,Diesel,145,60.1,2.0
 4 Series,2019,36387,Semi-Auto,9529,Diesel,145,60.1,2.0
 3 Series,2019,36985,Semi-Auto,1951,Diesel,145,52.3,2.0
 4 Series,2019,33137,Semi-Auto,3516,Petrol,145,48.7,2.0
 5 Series,2019,44057,Semi-Auto,2096,Diesel,145,53.3,3.0
 4 Series,2019,34385,Semi-Auto,2924,Petrol,145,48.7,2.0
 M4,2019,51987,Semi-Auto,7603,Petrol,145,32.5,3.0
 4 Series,2019,32468,Semi-Auto,11324,Diesel,145,65.7,2.0
 5 Series,2019,34827,Semi-Auto,10389,Diesel,145,65.7,2.0
 5 Series,2019,34255,Semi-Auto,11301,Diesel,145,65.7,2.0
 X1,2019,33085,Semi-Auto,7549,Petrol,145,40.9,1.5
 1 Series,2017,18194,Semi-Auto,39714,Diesel,145,67.3,2.0
 2 Series,2019,28067,Semi-Auto,10199,Petrol,145,47.9,2.0
 1 Series,2017,21424,Manual,21344,Diesel,145,62.8,2.0
 X1,2019,27924,Semi-Auto,7970,Petrol,145,46.3,1.5
 1 Series,2020,30485,Manual,2400,Petrol,145,44.1,1.5
 1 Series,2014,16888,Manual,71301,Petrol,300,35.3,3.0
 4 Series,2014,15588,Manual,50757,Petrol,165,46.3,2.0
 3 Series,2014,18135,Automatic,31098,Diesel,30,62.8,2.0
 5 Series,2019,30908,Semi-Auto,4447,Petrol,145,50.4,2.0
 1 Series,2019,24538,Semi-Auto,2406,Diesel,145,68.9,1.5
 X4,2018,57187,Semi-Auto,12,Diesel,145,42.8,2.0
 3 Series,2019,31772,Semi-Auto,12,Diesel,145,64.2,2.0
 3 Series,2019,31772,Semi-Auto,12,Diesel,145,60.1,2.0
 1 Series,2019,38727,Semi-Auto,12,Petrol,145,39.8,3.0
 1 Series,2019,38844,Semi-Auto,12,Petrol,145,39.8,3.0
 5 Series,2018,40287,Semi-Auto,12,Diesel,145,49.6,2.0
 1 Series,2019,20774,Manual,8359,Diesel,145,72.4,1.5
 2 Series,2019,38968,Semi-Auto,8027,Petrol,145,38.2,3.0
 4 Series,2019,30908,Manual,8293,Diesel,145,62.8,2.0
 5 Series,2019,41308,Semi-Auto,579,Diesel,145,60.1,2.0
 Z4,2019,45474,Semi-Auto,8004,Petrol,145,37.2,2.0
 5 Series,2019,34827,Semi-Auto,6110,Diesel,145,65.7,2.0
 X1,2018,28574,Semi-Auto,10708,Diesel,145,60.1,2.0
 3 Series,2020,42887,Semi-Auto,1125,Diesel,145,50.4,2.0
 7 Series,2019,63694,Semi-Auto,7315,Diesel,145,42.2,3.0
 3 Series,2019,35685,Semi-Auto,6038,Petrol,145,42.2,2.0
 X3,2019,44187,Semi-Auto,2538,Diesel,145,54.3,2.0
 3 Series,2019,22724,Semi-Auto,20671,Petrol,150,51.4,1.5
 3 Series,2019,22724,Semi-Auto,22539,Petrol,150,51.4,1.5
 3 Series,2019,28067,Semi-Auto,20000,Petrol,150,47.9,2.0
 3 Series,2019,28067,Semi-Auto,23000,Petrol,150,44.8,2.0
 1 Series,2020,30667,Manual,1104,Diesel,145,53.3,2.0
 X1,2017,26585,Semi-Auto,25725,Diesel,145,55.4,2.0
 M2,2019,58487,Semi-Auto,4358,Petrol,145,29.1,3.0
 3 Series,2019,31187,Semi-Auto,8389,Petrol,145,47.9,2.0
 3 Series,2016,18057,Semi-Auto,45252,Diesel,30,65.7,2.0
 X5,2019,61087,Semi-Auto,2754,Diesel,145,37.7,3.0
 4 Series,2019,31785,Semi-Auto,10831,Diesel,145,65.7,2.0
 M4,2015,35867,Manual,27489,Petrol,325,31.0,3.0
 2 Series,2014,15587,Semi-Auto,35000,Diesel,30,65.7,2.0
 X3,2017,22594,Semi-Auto,64648,Diesel,145,54.3,2.0
 2 Series,2018,26494,Semi-Auto,4172,Petrol,145,47.9,2.0
 3 Series,2019,28067,Semi-Auto,26000,Petrol,150,47.9,2.0
 3 Series,2019,28067,Semi-Auto,23000,Petrol,150,44.8,2.0
 3 Series,2019,28067,Semi-Auto,23000,Petrol,150,47.9,2.0
 3 Series,2019,28067,Semi-Auto,27000,Petrol,150,47.9,2.0
 4 Series,2019,25857,Semi-Auto,22000,Petrol,150,48.7,2.0
 4 Series,2018,26767,Semi-Auto,17000,Petrol,150,48.7,2.0
 3 Series,2019,34424,Semi-Auto,6012,Diesel,150,52.3,2.0
 3 Series,2019,33670,Semi-Auto,6486,Petrol,150,42.2,2.0
 X1,2013,13384,Semi-Auto,63993,Diesel,160,52.3,2.0
 4 Series,2015,20794,Automatic,47822,Diesel,30,65.7,2.0
 X1,2016,23397,Semi-Auto,34813,Diesel,145,55.4,2.0
 1 Series,2017,27947,Semi-Auto,25630,Petrol,145,39.8,3.0
 6 Series,2019,46774,Semi-Auto,8004,Diesel,145,47.9,3.0
 X3,2019,46774,Semi-Auto,8088,Diesel,145,54.3,2.0
 5 Series,2018,34086,Semi-Auto,19504,Diesel,145,46.3,2.0
 X5,2020,77991,Semi-Auto,500,Diesel,145,37.7,3.0
 2 Series,2020,37691,Semi-Auto,500,Diesel,145,67.3,2.0
 X2,2020,38991,Semi-Auto,500,Petrol,145,38.7,2.0
 1 Series,2019,27274,Manual,2985,Petrol,150,44.1,1.5
 1 Series,2019,27274,Manual,6553,Petrol,150,44.1,1.5
 2 Series,2017,16770,Manual,47301,Diesel,20,74.3,1.5
 X1,2017,18980,Manual,39460,Diesel,150,68.9,2.0
 X1,2017,18980,Manual,41334,Diesel,20,68.9,2.0
 X3,2019,38974,Semi-Auto,6231,Diesel,145,54.3,2.0
 1 Series,2019,20722,Manual,7913,Petrol,145,53.3,1.5
 4 Series,2019,40924,Semi-Auto,7217,Diesel,145,47.9,3.0
 1 Series,2015,21438,Manual,27411,Petrol,305,35.3,3.0
 X2,2019,39910,Semi-Auto,14352,Petrol,150,34.0,2.0
 3 Series,2017,27299,Semi-Auto,27500,Diesel,145,56.5,3.0
 2 Series,2020,42891,Semi-Auto,500,Diesel,145,47.1,2.0
 X3,2020,51991,Semi-Auto,500,Diesel,145,54.3,2.0
 X4,2020,63691,Semi-Auto,500,Petrol,145,26.9,3.0
 Z4,2020,44191,Semi-Auto,603,Petrol,145,38.7,2.0
 2 Series,2019,26585,Semi-Auto,3422,Diesel,145,65.7,2.0
 3 Series,2019,29224,Manual,5567,Diesel,145,56.5,2.0
 3 Series,2019,31818,Semi-Auto,12991,Diesel,145,48.7,2.0
 7 Series,2019,67587,Semi-Auto,4279,Diesel,145,41.5,3.0
 X7,2019,88387,Semi-Auto,6331,Petrol,145,24.8,3.0
 4 Series,2019,32422,Semi-Auto,112,Petrol,145,45.6,2.0
 2 Series,2019,31174,Manual,110,Diesel,145,60.1,2.0
 3 Series,2013,14859,Semi-Auto,36578,Petrol,160,44.8,2.0
 1 Series,2016,24697,Manual,13857,Petrol,260,36.2,3.0
 3 Series,2019,37697,Manual,7441,Diesel,150,54.3,2.0
 3 Series,2018,23397,Semi-Auto,54762,Petrol,150,48.7,2.0
 X1,2016,25997,Semi-Auto,11927,Diesel,150,55.4,2.0
 3 Series,2019,22724,Semi-Auto,20410,Petrol,150,48.7,2.0
 4 Series,2018,23374,Semi-Auto,27120,Petrol,150,48.7,2.0
 4 Series,2017,30277,Semi-Auto,28893,Diesel,145,50.4,3.0
 5 Series,2020,48091,Semi-Auto,500,Hybrid,145,49.6,2.0
 5 Series,2016,24253,Semi-Auto,25695,Diesel,160,51.4,3.0
 X5,2016,38441,Automatic,33541,Diesel,200,47.1,3.0
 3 Series,2016,26508,Semi-Auto,27547,Diesel,150,53.3,3.0
 5 Series,2017,29159,Semi-Auto,11333,Diesel,150,65.7,2.0
 X1,2017,25182,Semi-Auto,21293,Diesel,150,60.1,2.0
 4 Series,2019,31707,Semi-Auto,6018,Petrol,145,45.6,2.0
 3 Series,2018,28743,Semi-Auto,26309,Diesel,145,51.4,3.0
 4 Series,2019,34047,Semi-Auto,7350,Petrol,145,48.7,2.0
 1 Series,2017,27287,Semi-Auto,17774,Petrol,200,39.8,3.0
 1 Series,2016,23257,Manual,26193,Petrol,260,36.2,3.0
 4 Series,2017,30888,Semi-Auto,17329,Diesel,160,50.4,3.0
 2 Series,2019,29380,Semi-Auto,3574,Diesel,145,48.7,2.0
 1 Series,2019,31850,Manual,4064,Diesel,145,57.7,1.5
 3 Series,2015,20203,Semi-Auto,79978,Diesel,160,51.4,3.0
 5 Series,2019,44850,Semi-Auto,1007,Hybrid,135,156.9,2.0
 1 Series,2018,19878,Semi-Auto,19062,Diesel,150,44.1,2.0
 1 Series,2016,16563,Manual,23114,Diesel,20,68.9,2.0
 1 Series,2016,19488,Semi-Auto,17236,Diesel,20,68.9,1.5
 5 Series,2019,41925,Semi-Auto,1400,Hybrid,135,156.9,2.0
 1 Series,2017,24012,Semi-Auto,8500,Petrol,150,47.9,2.0
 3 Series,2017,28977,Semi-Auto,19462,Diesel,145,56.5,3.0
 X7,2019,96382,Semi-Auto,3300,Diesel,145,33.6,3.0
 2 Series,2019,24044,Semi-Auto,4568,Diesel,145,52.3,2.0
 4 Series,2017,29887,Semi-Auto,29607,Diesel,160,50.4,3.0
 1 Series,2019,34307,Semi-Auto,3667,Petrol,145,40.4,1.5
 2 Series,2019,30277,Semi-Auto,2801,Petrol,145,47.9,2.0
 4 Series,2019,40288,Semi-Auto,4762,Petrol,145,41.5,3.0
 X3,2019,44174,Semi-Auto,1962,Diesel,150,54.3,2.0
 4 Series,2019,31837,Semi-Auto,7604,Diesel,150,65.7,2.0
 4 Series,2019,33137,Semi-Auto,6782,Petrol,150,48.7,2.0
 4 Series,2019,35477,Semi-Auto,4476,Diesel,145,58.9,2.0
 X1,2019,40287,Semi-Auto,7250,Diesel,145,36.7,2.0
 X2,2019,36387,Semi-Auto,4362,Petrol,145,39.2,2.0
 4 Series,2018,26767,Semi-Auto,30000,Petrol,150,48.7,2.0
 4 Series,2018,26767,Semi-Auto,16500,Petrol,150,48.7,2.0
 4 Series,2018,26767,Semi-Auto,17000,Petrol,150,48.7,2.0
 X4,2019,49387,Semi-Auto,9168,Diesel,150,40.9,3.0
 X4,2019,46787,Semi-Auto,3098,Diesel,150,42.8,2.0
 i8,2018,84474,Automatic,4477,Hybrid,135,141.2,1.5
 M4,2015,38337,Semi-Auto,37724,Petrol,325,32.5,3.0
 4 Series,2019,41574,Automatic,10,Petrol,145,45.6,2.0
 3 Series,2019,33774,Semi-Auto,3317,Diesel,145,52.3,2.0
 X5,2019,66300,Semi-Auto,3536,Petrol,145,27.2,3.0
 M4,2019,59800,Semi-Auto,1501,Petrol,145,32.5,3.0
 5 Series,2019,37427,Semi-Auto,5432,Diesel,145,60.1,2.0
 5 Series,2019,34320,Semi-Auto,4237,Petrol,145,50.4,2.0
 7 Series,2019,68237,Semi-Auto,3200,Diesel,145,44.1,3.0
 8 Series,2019,77727,Semi-Auto,1600,Petrol,145,33.2,3.0
 X1,2015,22478,Semi-Auto,29135,Diesel,125,57.6,2.0
 3 Series,2015,16337,Automatic,24619,Diesel,20,74.3,2.0
 3 Series,2017,20098,Semi-Auto,24628,Petrol,145,47.9,2.0
 1 Series,2016,24636,Semi-Auto,38478,Petrol,200,39.8,3.0
 5 Series,2014,13351,Automatic,71302,Diesel,30,62.8,2.0
 3 Series,2015,12743,Manual,61887,Diesel,30,62.8,2.0
 2 Series,2018,21251,Manual,11141,Petrol,145,42.2,1.5
 3 Series,2016,22747,Semi-Auto,28897,Diesel,145,54.3,3.0
 X5,2016,36374,Automatic,31664,Diesel,160,50.4,2.0
 X4,2017,34438,Semi-Auto,30485,Diesel,150,47.9,3.0
 4 Series,2016,22542,Semi-Auto,33011,Diesel,30,65.7,2.0
 3 Series,2019,45799,Semi-Auto,4602,Hybrid,135,8.8,2.0
 X6,2018,49374,Semi-Auto,11188,Diesel,150,40.9,3.0
 X3,2019,54574,Semi-Auto,6501,Diesel,150,36.7,3.0
 3 Series,2019,38974,Semi-Auto,8127,Diesel,145,48.7,2.0
 5 Series,2019,40274,Automatic,3718,Diesel,145,62.8,2.0
 X5,2019,64974,Automatic,3951,Diesel,145,37.7,3.0
 X1,2019,33124,Semi-Auto,5163,Petrol,145,39.2,2.0
 X2,2019,37674,Automatic,1325,Petrol,145,39.2,2.0
 5 Series,2019,40274,Semi-Auto,2420,Hybrid,135,156.9,2.0
 5 Series,2019,40274,Semi-Auto,2215,Hybrid,135,156.9,2.0
 4 Series,2016,25324,Semi-Auto,52783,Petrol,235,38.2,3.0
 X1,2016,23374,Semi-Auto,28322,Diesel,125,57.6,2.0
 1 Series,2016,19487,Manual,10937,Diesel,30,65.7,2.0
 X1,2017,27288,Semi-Auto,25839,Petrol,160,44.8,2.0
 1 Series,2016,25077,Semi-Auto,21132,Petrol,235,37.7,3.0
 2 Series,2016,20397,Semi-Auto,18586,Petrol,125,51.4,1.5
 X3,2019,42458,Semi-Auto,6962,Diesel,145,48.7,3.0
 M4,2015,38996,Semi-Auto,20100,Petrol,300,34.0,3.0
 1 Series,2019,27274,Manual,4630,Petrol,145,44.1,1.5
 2 Series,2019,28574,Automatic,6258,Hybrid,135,148.7,1.5
 1 Series,2019,23374,Semi-Auto,10672,Diesel,145,74.3,2.0
 X3,2015,25974,Semi-Auto,37790,Diesel,150,54.3,2.0
 7 Series,2019,62374,Semi-Auto,12038,Diesel,150,44.1,3.0
 X3,2019,42874,Semi-Auto,1961,Diesel,150,54.3,2.0
 5 Series,2019,40924,Semi-Auto,4659,Diesel,150,60.1,3.0
 X1,2013,16484,Manual,32543,Petrol,200,40.9,2.0
 1 Series,2016,21424,Semi-Auto,20308,Petrol,145,47.9,1.6
 X1,2019,36374,Semi-Auto,5845,Diesel,145,50.4,2.0
 3 Series,2019,38324,Manual,2802,Diesel,145,54.3,2.0
 5 Series,2017,31824,Semi-Auto,26971,Diesel,145,62.8,2.0
 2 Series,2020,27274,Manual,10,Petrol,145,52.3,1.5
 1 Series,2016,18824,Semi-Auto,37529,Diesel,20,68.9,1.5
 X4,2019,48074,Semi-Auto,2740,Diesel,145,42.8,2.0
 5 Series,2019,40937,Semi-Auto,2019,Petrol,150,48.7,2.0
 3 Series,2019,35724,Semi-Auto,9155,Petrol,145,41.5,2.0
 X1,2019,34437,Semi-Auto,9113,Diesel,145,50.4,2.0
 3 Series,2020,41574,Semi-Auto,10,Diesel,145,50.4,2.0
 X5,2019,74074,Semi-Auto,11449,Diesel,145,33.6,3.0
 M2,2019,59774,Semi-Auto,1287,Petrol,145,29.1,3.0
 X2,2019,41574,Semi-Auto,1151,Diesel,145,50.4,2.0
 6 Series,2019,44174,Semi-Auto,10813,Diesel,145,53.3,3.0
 3 Series,2019,35724,Semi-Auto,6113,Petrol,145,42.2,2.0
 X3,2019,47437,Automatic,5277,Diesel,145,48.7,3.0
 X5,2019,62374,Automatic,8548,Diesel,145,37.7,3.0
 1 Series,2019,25324,Automatic,6993,Diesel,145,67.3,2.0
 X5,2019,61074,Automatic,5073,Diesel,145,37.7,3.0
 4 Series,2019,30524,Automatic,5738,Diesel,145,65.7,2.0
 X5,2019,61074,Semi-Auto,8371,Diesel,145,37.7,3.0
 1 Series,2019,27287,Automatic,7990,Diesel,145,65.7,2.0
 4 Series,2019,33787,Automatic,6519,Diesel,145,58.9,2.0
 3 Series,2016,18525,Manual,27779,Diesel,30,64.2,2.0
 3 Series,2016,22941,Automatic,20793,Diesel,145,56.5,3.0
 3 Series,2015,24579,Automatic,27649,Petrol,260,36.7,3.0
 X1,2018,28531,Automatic,7283,Petrol,145,39.2,2.0
 Z4,2020,42237,Semi-Auto,10,Petrol,145,37.2,2.0
 X2,2020,32487,Semi-Auto,10,Diesel,145,47.9,2.0
 2 Series,2020,27274,Semi-Auto,10,Petrol,145,50.4,1.5
 2 Series,2020,27274,Semi-Auto,10,Petrol,145,50.4,1.5
 1 Series,2018,23374,Manual,8067,Petrol,145,52.3,1.5
 1 Series,2017,20137,Semi-Auto,28646,Diesel,145,68.9,2.0
 5 Series,2017,33774,Semi-Auto,15856,Petrol,200,39.2,3.0
 X1,2017,27274,Semi-Auto,21330,Petrol,160,44.8,2.0
 4 Series,2015,23374,Semi-Auto,35255,Petrol,160,44.1,2.0
 1 Series,2017,24024,Manual,39201,Petrol,150,36.2,3.0
 X1,2019,34424,Semi-Auto,3737,Petrol,150,48.7,2.0
 4 Series,2019,30524,Semi-Auto,7107,Petrol,150,48.7,2.0
 X1,2017,27274,Semi-Auto,31630,Diesel,150,55.4,2.0
 X6,2015,35074,Semi-Auto,51447,Diesel,205,47.1,3.0
 4 Series,2018,32487,Semi-Auto,16790,Diesel,150,60.1,2.0
 3 Series,2017,21697,Manual,14348,Petrol,150,48.7,2.0
 1 Series,2013,11687,Manual,37233,Petrol,150,49.6,1.6
 4 Series,2018,24436,Manual,9788,Diesel,145,62.8,2.0
 4 Series,2018,24696,Manual,8269,Diesel,145,62.8,2.0
 4 Series,2014,15431,Semi-Auto,77209,Diesel,125,60.1,2.0
 5 Series,2014,18317,Semi-Auto,62890,Diesel,160,51.4,3.0
 1 Series,2016,12858,Manual,49811,Diesel,0,83.1,1.5
 6 Series,2020,49374,Semi-Auto,11,Diesel,145,53.3,3.0
 3 Series,2019,35737,Semi-Auto,13994,Petrol,145,42.2,2.0
 3 Series,2015,20774,Semi-Auto,30569,Diesel,30,62.8,2.0
 X1,2019,36374,Semi-Auto,3782,Petrol,145,48.7,2.0
 X1,2016,23643,Automatic,21225,Diesel,125,57.6,2.0
 X6,2019,76024,Semi-Auto,2018,Petrol,145,26.4,3.0
 X5,2014,31174,Automatic,51252,Diesel,200,45.6,3.0
 6 Series,2020,44837,Semi-Auto,5,Petrol,145,42.8,2.0
 3 Series,2016,18174,Semi-Auto,40146,Petrol,145,47.9,2.0
 1 Series,2019,27274,Manual,3483,Petrol,145,44.1,1.5
 3 Series,2019,35074,Semi-Auto,5966,Diesel,145,52.3,2.0
 3 Series,2019,31824,Semi-Auto,5776,Diesel,145,55.4,2.0
 X2,2019,37037,Semi-Auto,4161,Diesel,145,58.9,2.0
 X1,2019,34424,Semi-Auto,2372,Petrol,150,48.7,2.0
 X2,2019,36374,Semi-Auto,3690,Petrol,150,39.2,2.0
 X1,2016,20995,Semi-Auto,36956,Diesel,30,65.7,2.0
 1 Series,2018,22088,Manual,27500,Diesel,150,62.8,2.0
 X1,2016,19488,Manual,21242,Diesel,20,68.9,2.0
 X1,2017,29238,Semi-Auto,16578,Diesel,150,57.6,2.0
 5 Series,2017,31422,Semi-Auto,10131,Diesel,125,60.1,2.0
 3 Series,2017,21958,Manual,17907,Petrol,150,43.5,2.0
 2 Series,2020,27274,Semi-Auto,9,Petrol,150,50.4,1.5
 3 Series,2020,42185,Semi-Auto,104,Petrol,150,40.4,2.0
 1 Series,2019,42887,Semi-Auto,3883,Petrol,145,34.5,2.0
 5 Series,2019,45487,Semi-Auto,3425,Diesel,145,60.1,2.0
 3 Series,2016,19396,Automatic,59695,Diesel,145,56.5,3.0
 3 Series,2016,17169,Automatic,32672,Petrol,125,51.4,1.5
 3 Series,2017,23023,Automatic,45646,Diesel,145,56.5,3.0
 X1,2018,30303,Automatic,12857,Diesel,145,60.1,2.0
 5 Series,2018,33085,Automatic,19486,Hybrid,135,156.9,2.0
 4 Series,2015,21468,Semi-Auto,33802,Diesel,30,65.7,2.0
 1 Series,2016,17619,Manual,17787,Petrol,125,52.3,1.5
 X4,2019,49374,Semi-Auto,1852,Diesel,145,40.4,3.0
 5 Series,2020,45292,Semi-Auto,105,Hybrid,145,44.8,2.0
 X4,2019,46124,Semi-Auto,7414,Diesel,145,42.8,2.0
 5 Series,2015,24694,Semi-Auto,15804,Diesel,160,50.4,3.0
 X1,2016,22354,Manual,18960,Diesel,125,60.1,2.0
 3 Series,2017,20794,Automatic,24624,Petrol,145,51.4,2.0
 3 Series,2015,21255,Semi-Auto,21000,Petrol,160,43.5,2.0
 2 Series,2017,20735,Semi-Auto,29000,Diesel,125,57.6,2.0
 3 Series,2017,20794,Semi-Auto,34700,Diesel,150,64.2,2.0
 4 Series,2016,22138,Automatic,35444,Diesel,30,65.7,2.0
